lr0,momentum,weight_decay,batch,run_name,mAP50
0.01,0.9,0.0001,32,grid_trial_3,0.92084
0.01,0.937,0.0001,32,grid_trial_7,0.92084
0.001,0.9,0.0001,32,grid_trial_11,0.92084
0.001,0.937,0.0001,32,grid_trial_15,0.92084
0.01,0.9,0.0005,32,grid_trial_1,0.92001
0.01,0.937,0.0005,32,grid_trial_5,0.92001
0.001,0.9,0.0005,32,grid_trial_9,0.92001
0.001,0.937,0.0005,32,grid_trial_13,0.92001
0.01,0.9,0.0005,16,grid_trial_0,0.91982
0.01,0.937,0.0005,16,grid_trial_4,0.91982
0.001,0.9,0.0005,16,grid_trial_8,0.91982
0.001,0.937,0.0005,16,grid_trial_12,0.91982
0.01,0.9,0.0001,16,grid_trial_2,0.91669
0.01,0.937,0.0001,16,grid_trial_6,0.91669
0.001,0.9,0.0001,16,grid_trial_10,0.91669
0.001,0.937,0.0001,16,grid_trial_14,0.91669
