epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.885,1.46895,2.52067,1.44977,0.8948,0.57102,0.56805,0.37396,1.40101,1.97193,1.28233,0.00046641,0.00046641,0.00046641
2,263.035,1.3199,1.31655,1.30687,0.76231,0.81898,0.83719,0.51698,1.23734,1.53739,1.3078,0.000896077,0.000896077,0.000896077
3,394.076,1.24583,1.1371,1.26798,0.79187,0.87678,0.86445,0.55384,1.20529,1.25261,1.2478,0.00127859,0.00127859,0.00127859
4,524.859,1.22273,1.069,1.25391,0.75424,0.88787,0.87687,0.56766,1.20904,1.09201,1.19541,0.00121679,0.00121679,0.00121679
5,655.464,1.19312,1.01231,1.24081,0.80463,0.90706,0.87386,0.58987,1.10969,1.01862,1.23012,0.00114606,0.00114606,0.00114606
6,786.348,1.18609,0.99007,1.22899,0.83381,0.88341,0.88481,0.57279,1.24832,1.02356,1.28585,0.00107532,0.00107532,0.00107532
7,917.748,1.17199,0.95098,1.22631,0.7608,0.93893,0.88706,0.59817,1.14941,0.95132,1.15385,0.00100459,0.00100459,0.00100459
8,1049.23,1.16437,0.93377,1.21267,0.82154,0.89654,0.88593,0.61871,1.05289,0.91151,1.14143,0.000933851,0.000933851,0.000933851
9,1180.56,1.16933,0.92241,1.21191,0.84965,0.91765,0.90443,0.62649,1.05167,0.88837,1.16099,0.000863116,0.000863116,0.000863116
10,1311.54,1.14416,0.90786,1.19703,0.8454,0.89765,0.90525,0.58656,1.2434,0.86544,1.2209,0.00079238,0.00079238,0.00079238
11,1440.08,1.14374,0.93932,1.20607,0.83597,0.91793,0.91034,0.61647,1.08062,0.85107,1.16445,0.000721645,0.000721645,0.000721645
12,1568.57,1.13125,0.87852,1.19557,0.81598,0.93232,0.92297,0.63086,1.04618,0.84503,1.12698,0.000650909,0.000650909,0.000650909
13,1696.48,1.11104,0.85576,1.1826,0.83621,0.94039,0.921,0.63537,1.03983,0.82586,1.12209,0.000580174,0.000580174,0.000580174
14,1824.19,1.10378,0.82889,1.1808,0.83584,0.92605,0.91728,0.61945,1.07363,0.81418,1.14901,0.000509438,0.000509438,0.000509438
15,1951.94,1.0872,0.81002,1.16447,0.85988,0.9258,0.91741,0.63751,1.0349,0.82958,1.11848,0.000438703,0.000438703,0.000438703
16,2079.99,1.0822,0.80281,1.15744,0.85236,0.9219,0.92048,0.642,1.05063,0.80354,1.11404,0.000367967,0.000367967,0.000367967
17,2208.23,1.069,0.79018,1.1541,0.84778,0.92568,0.928,0.651,1.04125,0.77501,1.10466,0.000297232,0.000297232,0.000297232
18,2336.74,1.05699,0.77901,1.14369,0.86209,0.92073,0.92445,0.641,1.05128,0.7689,1.11108,0.000226497,0.000226497,0.000226497
19,2464.95,1.05146,0.76367,1.13993,0.85095,0.93028,0.92098,0.64958,1.04623,0.7448,1.10208,0.000155761,0.000155761,0.000155761
20,2593.36,1.04133,0.75102,1.13664,0.85241,0.93045,0.91669,0.64518,1.02865,0.74694,1.09907,8.50255e-05,8.50255e-05,8.50255e-05
